answer,var1,var2,var3,var4,var5
баг,бак,bug,баги,багом,бах
зааджастить,заджастить,аджастить,заатжастить,затжастить,атжастить
дедлайн,детлайн,детлайном,дет лайн,дедлайны,дедлайном
бэклог,бэклок,бэклоги,backlock,,
гол,гоул,голы,,,
дейли,дэли,дели,дейлик,дейлики,дэйли
коммититься,комититься,камититься,комитица,камитица,камититца
комплитить,камплитить,камплит,комплит,комплетить,
дропнуть,дропать,,,,
джуниор,джун,жун,жуниор,джуниар,жуниар
сениор,синьёр,senior,сеньёр,синьор,сеньор
мидл,мидлы,миддл,middle,,
парсинг,парсить,парсинк,парсин,,
линкануть,линковать,линкать,линкану,ленкануть,линканутсь
расшарить,шарить,расшарь,пошарить,пошарю,расшарю
дебажить,дебагить,дибажить,дибашить,дебашить,
тэдэшка,тэдэ,тыдешка,тд,тдшка,тэтэшка
батон,баттон,батэн,баттэн,батан,баттан
хлебные крошки,дублирующее меню,breadcrumbs, бредкримбс, брэдкримбс,
юай(UI),UI дизайн,ю ай,юай дизайн,ю-ай,
юикс(UX),UX дизайн,юикс,ю икс,ю-икс,
гит,гид,хит,,,
адаптивный дизайн,адаптив,адаптивный,адаптивная верстка ,дизайн адаптивный,
юзер,юзеры,пользователь,пользователи,юзары,юзэр
фикс,пофиксить,фиксануть,фиксить,,
референс,реф,референсы,рефы,,
фубар,фубары,,,,
джидитайз,джитиди,дигитайз,джиди тайз,,
адженда,agendum,аджендум,анджить,,
шоу-стоппер,стоппер,стопер,шоу стопер,шоу стоппер,
easy,easy,легко,,,
medium,medium,нормально,,,
hard,hard,сложно,,,