start,close,help,What can you do,dont know
начну,конец игры,помощь,алиса что ты умеешь,не знаю
начнёшь,игры конец,помоги,что ты умеешь,я не знаю
начнёт,конец,помочь,что могешь,не в курсе
начнём,хватит,нужно помочь,что ты делаешь,я не в курсе
начнете,алиса конец игры,нужно помочь,умеешь что,i dont know
начнут,закончили,помочь нужно,ты что делаешь,
начал,закончим,помощь нужна,что можешь,
начала,стоп,хелп,,
начало,остановись,нужна помощь,,
начали,останови,,,
начни,надоело,,,
начните,закрыть,,,
давай начнем,закрой,,,
начнем давай,клоуз,,,
поехали,клоус,,,
погнали,выключись,,,
старт,отключись,,,
go,,,,
гоу,,,,
окей,,,,
стартуй,,,,
да,,,,
давай,,,,
как скажешь,,,,